group,replicate,fastq_1,fastq_2,strandedness
X011_org_EVT_L3,1,NGS_M_Sheridan_40616_run1/X011_org_EVT_L003_ds.8dffbab64a634b82872606de01428a1a/X011-org-EVT_S22_L003_R1_001.fastq.gz, ,reverse
X011_org_EVT_L4,1,NGS_M_Sheridan_40616_run1/X011_org_EVT_L004_ds.a5dedff199324f18bc10af923b817183/X011-org-EVT_S22_L004_R1_001.fastq.gz, ,reverse
X011_org_TOM_L1,1,NGS_M_Sheridan_40616_run1/X011_org_TOM_L001_ds.92caf238cc3144bf96a170cb6cff4a20/X011-org-TOM_S21_L001_R1_001.fastq.gz, ,reverse
X011_org_TOM_L2,1,NGS_M_Sheridan_40616_run1/X011_org_TOM_L002_ds.453e8da7d5d547e39df475f945384bd6/X011-org-TOM_S21_L002_R1_001.fastq.gz, ,reverse
X011_org_TOM_L3,1,NGS_M_Sheridan_40616_run1/X011_org_TOM_L003_ds.a7236d3fc4564fe1bb7da1de3b095b1f/X011-org-TOM_S21_L003_R1_001.fastq.gz, ,reverse
X011_org_TOM_L4,1,NGS_M_Sheridan_40616_run1/X011_org_TOM_L004_ds.5bd34c1e446b4d5bb865399e107d096f/X011-org-TOM_S21_L004_R1_001.fastq.gz, ,reverse
X021_org_EVT_L1,1,NGS_M_Sheridan_40616_run1/X021_org_EVT_L001_ds.892d242f83114c3fb1861b6f362d1e1e/X021-org-EVT_S24_L001_R1_001.fastq.gz, ,reverse
X021_org_EVT_L2,1,NGS_M_Sheridan_40616_run1/X021_org_EVT_L002_ds.076afe9239ec4a3ba81aa2f05240ce33/X021-org-EVT_S24_L002_R1_001.fastq.gz, ,reverse
X021_org_EVT_L3,1,NGS_M_Sheridan_40616_run1/X021_org_EVT_L003_ds.e8ff87f25cbd47be8983300901250dca/X021-org-EVT_S24_L003_R1_001.fastq.gz, ,reverse
X021_org_EVT_L4,1,NGS_M_Sheridan_40616_run1/X021_org_EVT_L004_ds.6659475395b642cb98ee3e78297d9864/X021-org-EVT_S24_L004_R1_001.fastq.gz, ,reverse
X021_org_TOM_L1,1,NGS_M_Sheridan_40616_run1/X021_org_TOM_L001_ds.1db32976aa45402ab022b66f3060f508/X021-org-TOM_S23_L001_R1_001.fastq.gz, ,reverse
X021_org_TOM_L2,1,NGS_M_Sheridan_40616_run1/X021_org_TOM_L002_ds.71052422ca0147969fba06a2126a7f12/X021-org-TOM_S23_L002_R1_001.fastq.gz, ,reverse
X021_org_TOM_L3,1,NGS_M_Sheridan_40616_run1/X021_org_TOM_L003_ds.cd3d1bb88cbc455687ac58c9ecb5b625/X021-org-TOM_S23_L003_R1_001.fastq.gz, ,reverse
X021_org_TOM_L4,1,NGS_M_Sheridan_40616_run1/X021_org_TOM_L004_ds.1f0663c61ede4419a7d12cbbc5b2ea41/X021-org-TOM_S23_L004_R1_001.fastq.gz, ,reverse
X035_org_EVT_L1,1,NGS_M_Sheridan_40616_run1/X035_org_EVT_L001_ds.ab7af1b334ab461d8b35f4f8fafcf731/X035-org-EVT_S26_L001_R1_001.fastq.gz, ,reverse
X035_org_EVT_L2,1,NGS_M_Sheridan_40616_run1/X035_org_EVT_L002_ds.61a628239a4448749bfeeb9d84bbb37d/X035-org-EVT_S26_L002_R1_001.fastq.gz, ,reverse
X035_org_EVT_L3,1,NGS_M_Sheridan_40616_run1/X035_org_EVT_L003_ds.e46e4963f1e74040b677231fb3b6aee5/X035-org-EVT_S26_L003_R1_001.fastq.gz, ,reverse
X035_org_EVT_L4,1,NGS_M_Sheridan_40616_run1/X035_org_EVT_L004_ds.a2b183e26f30463a8d7cf3e214603f51/X035-org-EVT_S26_L004_R1_001.fastq.gz, ,reverse
